id,pos,lemma,kind,target,example,markerStart,markerEnd,prefixContext,suffixContext,targetFound,markerCrossesBoundary,markerReason,auxExactFormMatch,auxSuggestedTarget,lemmaHasKanji,hasKanjiAidField,hasTargetReadingField
yoru,verb,寄る,ラ行四段活用,よる,すみの江の岸による波よるさへや夢のかよひ路人めよくらむ,7,9,の岸に,波よる,True,False,,,,True,False,False
wabu,verb,侘ぶ,バ行上二段活用,わび,わびぬればいまはたおなじ難波なるみをつくしてもあはむとぞ思ふ,0,2,,ぬれば,True,False,,,,True,False,False
shioru,verb,萎る,ラ行下二段活用,しをるれ,吹くからに秋の草木のしをるればむべ山風を嵐といふらむ,10,14,草木の,ばむべ,True,False,,,,True,False,False
toru,verb,取る,ラ行四段活用,とり,このたびはぬさもとりあへず手向山もみぢのにしき神のまにまに,8,10,ぬさも,あへず,True,False,,,,True,False,False
nagaru,verb,流る,ラ行下二段活用,流るる,みかの原わきて流るるいづみ川いつ見きとてか恋しかるらむ,7,10,わきて,いづみ,True,False,,,,True,False,False
oru,verb,折る,ラ行四段活用,折ら,心あてに折らばや折らむ初霜のおきまどはせる白菊の花,4,6,あてに,ばや折,True,False,,,,True,False,False
chiru,verb,散る,ラ行四段活用,ちる,ひさかたの光のどけき春の日にしづ心なく花のちるらむ,21,23,く花の,らむ,True,False,,,,True,False,False
niou,verb,匂ふ,ハ行四段活用,にほひ,人はいさ心もしらずふるさとは花ぞ昔の香ににほひける,20,23,の香に,ける,True,False,,,,True,False,False
yadoru,verb,宿る,ラ行四段活用,やどる,夏の夜はまだ宵ながらあけぬるを雲のいづこに月やどるらむ,22,25,こに月,らむ,True,False,,,,True,False,False
chikau,verb,誓ふ,ハ行四段活用,ちかひ,忘らるる身をば思はずちかひてし人のいのちの惜しくもあるかな,10,13,思はず,てし人,True,False,,,,True,False,False
shinobu,verb,忍ぶ,バ行四段活用,しのぶれ,浅茅生の小野の篠原しのぶれどあまりてなどか人の恋しき,9,13,の篠原,どあま,True,False,,,,True,False,False
tou,verb,問ふ,ハ行四段活用,とふ,しのぶれど色にいでにけりわが恋は物や思ふと人のとふまで,23,25,と人の,まで,True,False,,,,True,False,False
tatsu,verb,立つ,タ行四段活用,立ち,恋すてふわが名はまだき立ちにけり人しれずこそ思ひそめしか,11,13,まだき,にけり,True,False,,,,True,False,False
shiboru,verb,絞る,ラ行四段活用,しぼり,ちぎりきなかたみに袖をしぼりつつ末の松山波こさじとは,11,14,に袖を,つつ末,True,False,,,,True,False,False
kurabu,verb,比ぶ,バ行下二段活用,くらぶれ,あひみてののちの心にくらぶれば昔は物を思はざりけり,10,14,の心に,ば昔は,True,False,,,,True,False,False
omohoyu,verb,思ほゆ,ヤ行下二段活用,思ほえ,あはれともいふべき人は思ほえで身のいたづらになりぬべきかな,11,14,き人は,で身の,True,False,,,,True,False,False
wataru,verb,渡る,ラ行四段活用,わたる,由良のとをわたる舟人かぢをたえゆくへも知らぬ恋の道かな,5,8,のとを,舟人か,True,False,,,,True,False,False
kudaku,verb,砕く,カ行四段活用,くだけ,風をいたみ岩うつ波のおのれのみくだけて物を思ふころかな,15,18,れのみ,て物を,True,False,,,,True,False,False
moyu,verb,燃ゆ,ヤ行下二段活用,もえ,みかきもり衛士のたく火の夜はもえ昼は消えつつ物をこそ思へ,14,16,の夜は,昼は消,True,False,,,,True,False,False
sumu,verb,住む,マ行四段活用,住む,わが庵は都のたつみしかぞ住む世をうぢ山と人はいふなり,12,14,しかぞ,世をう,True,False,,,,True,False,False
tsugu,verb,告ぐ,ガ行下二段活用,告げよ,わたの原八十島かけて漕ぎいでぬと人には告げよ海人の釣舟,19,22,人には,海人の,True,False,,,,True,False,False
kukuru,verb,くくる,ラ行四段活用,くくる,ちはやぶる神代もきかず竜田川からくれなゐに水くくるとは,22,25,ゐに水,とは,True,False,,,,False,False,False
karu_wither,verb,枯る,ラ行下二段活用,かれぬ,山里は冬ぞ寂しさまさりける人目も草もかれぬと思へば,18,21,も草も,と思へ,True,False,,,,True,False,False
furu_snow,verb,降る,ラ行四段活用,ふれる,朝ぼらけ有明の月と見るまでに吉野の里にふれる白雪,19,22,の里に,白雪,True,False,,,,True,False,False
tsuranuku,verb,貫く,カ行四段活用,つらぬき,白露に風の吹きしく秋の野はつらぬきとめぬ玉ぞ散りける,13,17,の野は,とめぬ,True,True,"target-length-outlier(len=4,group-median=2.0)",,,True,False,False
kosu,verb,越す,サ行四段活用,こさ,契りきなかたみに袖をしぼりつつ末の松山波こさじとは,20,22,松山波,じとは,True,False,,,,True,False,False
uramu,verb,恨む,マ行上二段活用,恨み,逢ふことの絶えてしなくはなかなかに人をも身をも恨みざらまし,23,25,身をも,ざらま,True,False,,,,True,False,False
waku,verb,分く,カ行四段活用,わかぬ,めぐり逢ひて見しやそれともわかぬ間に雲隠れにし夜半の月かな,13,16,れとも,間に雲,True,False,,,,True,False,False
fuku_late,verb,更く,カ行下二段活用,更けて,やすらはで寝なましものを小夜更けてかたぶくまでの月を見しかな,14,17,を小夜,かたぶ,True,False,,,,True,False,False
yurusu,verb,許す,サ行四段活用,ゆるさ,夜をこめて鳥の空音ははかるともよに逢坂の関はゆるさじ,22,25,の関は,じ,True,False,,,,True,False,False
arawaru,verb,現る,ラ行下二段活用,あらはれ,朝ぼらけ宇治の川霧たえだえにあらはれわたる瀬々の網代木,14,18,だえに,わたる,True,False,,,,True,False,False
hosu,verb,干す,サ行四段活用,干さ,恨みわび干さぬ袖だにあるものを恋に朽ちなむ名こそ惜しけれ,4,6,みわび,ぬ袖だ,True,False,,,,True,False,False
kutsu,verb,朽つ,タ行上二段活用,朽ち,恨みわび干さぬ袖だにあるものを恋に朽ちなむ名こそ惜しけれ,17,19,を恋に,なむ名,True,False,,,,True,False,False
nagarau,verb,長らふ,ハ行四段活用,ながらへ,心にもあらで憂き世にながらへば恋しかるべき夜半の月かな,10,14,き世に,ば恋し,True,False,,,,True,False,False
nagamu,verb,眺む,マ行下二段活用,ながむれ,寂しさに宿を立ち出でてながむればいづこも同じ秋の夕暮,11,15,出でて,ばいづ,True,False,,,,True,False,False
saku,verb,咲く,カ行四段活用,咲き,高砂の尾上の桜咲きにけり外山の霞立たずもあらなむ,7,9,上の桜,にけり,True,False,,,,True,False,False
inu,verb,往ぬ,ナ行変格活用,いぬ,契りおきしさせもが露を命にてあはれ今年の秋もいぬめり,22,24,の秋も,めり,True,False,,,,True,False,False
kogu,verb,漕ぐ,ガ行四段活用,漕ぎ,わたの原漕ぎいでて見れば久方の雲居にまがふ沖つ白波,4,6,たの原,いでて,True,False,,,,True,False,False
seku,verb,堰く,カ行四段活用,せか,瀬をはやみ岩にせかるる滝川のわれても末に逢はむとぞ思ふ,7,9,み岩に,るる滝,True,False,,,,True,False,False
waru,verb,割る,ラ行四段活用,われ,瀬をはやみ岩にせかるる滝川のわれても末に逢はむとぞ思ふ,14,16,滝川の,ても末,True,False,,,,True,False,False
tanabiku,verb,たなびく,カ行四段活用,たなびく,秋風にたなびく雲の絶え間よりもれ出づる月の影のさやけさ,3,7,秋風に,雲の絶,True,True,"target-length-outlier(len=4,group-median=2.0)",,,False,False,False
nokoru,verb,残る,ラ行四段活用,残れる,ほととぎす鳴きつる方をながむればただ有明の月ぞ残れる,23,26,の月ぞ,,True,False,,,,True,False,False
tau,verb,堪ふ,ハ行下二段活用,堪へ,思ひわびさても命はあるものを憂きに堪へぬは涙なりけり,17,19,憂きに,ぬは涙,True,False,,,,True,False,False
iru,verb,入る,ラ行四段活用,入る,世の中よ道こそなけれ思ひ入る山の奥にも鹿ぞ鳴くなる,12,14,れ思ひ,山の奥,True,False,,,,True,False,False
aku_dawn,verb,明く,カ行下二段活用,明け,夜もすがら物思ふ頃は明けやらで閨のひまさへつれなかりけり,10,12,ふ頃は,やらで,True,False,,,,True,False,False
nageku,verb,嘆く,カ行四段活用,嘆け,嘆けとて月やはものを思はするかこち顔なるわが涙かな,0,2,,とて月,True,False,,,,True,False,False
yowaru,verb,弱る,ラ行四段活用,弱り,玉の緒よ絶えなば絶えねながらへば忍ぶることの弱りもぞする,22,24,ことの,もぞす,True,False,,,,True,False,False
kawaru,verb,変る,ラ行四段活用,変ら,見せばやな雄島の海人の袖だにも濡れにぞ濡れし色は変らず,24,26,し色は,ず,True,False,,,,True,False,False
miyu,verb,見ゆ,ヤ行下二段活用,見え,わが袖は潮干に見えぬ沖の石の人こそ知らね乾く間もなし,7,9,潮干に,ぬ沖の,True,False,,,,True,False,False
kawaku,verb,乾く,カ行四段活用,乾く,わが袖は潮干に見えぬ沖の石の人こそ知らね乾く間もなし,20,22,知らね,間もな,True,False,,,,True,False,False
utsu,verb,打つ,タ行四段活用,うつ,み吉野の山の秋風小夜更けてふるさと寒く衣うつなり,20,22,寒く衣,なり,True,False,,,,True,False,False
oou,verb,覆ふ,ハ行四段活用,おほふ,おほけなく憂き世の民におほふかなわが立つ杣に墨染の袖,11,14,の民に,かなわ,True,False,,,,True,False,False
sasou,verb,誘ふ,ハ行四段活用,さそふ,花さそふ嵐の庭の雪ならでふりゆくものはわが身なりけり,1,4,花,嵐の庭,True,False,,,,True,False,False
yaku,verb,焼く,カ行四段活用,焼く,来ぬ人を松帆の浦の夕なぎに焼くや藻塩の身もこがれつつ,13,15,なぎに,や藻塩,True,False,,,,True,False,False
kogaru,verb,焦がる,ラ行下二段活用,こがれ,来ぬ人を松帆の浦の夕なぎに焼くや藻塩の身もこがれつつ,21,24,の身も,つつ,True,False,,,,True,False,False
soyogu,verb,そよぐ,ガ行四段活用,そよぐ,風そよぐ楢の小川の夕暮は禊ぞ夏のしるしなりける,1,4,風,楢の小,True,False,,,,False,False,False
amaru,verb,余る,ラ行四段活用,あまり,百敷や古き軒端のしのぶにもなほあまりある昔なりけり,15,18,もなほ,ある昔,True,False,,,,True,False,False
kanasi,adj,悲し,シク活用,かなしけれ,月みれば　ちぢに物こそ　かなしけれ　わが身ひとつの　秋にはあらねど,10,15,物こそ,わが身,True,False,,,,True,False,False
usi,adj,憂し,ク活用,憂かり,憂かりける　人を初瀬の　山おろしよ　はげしかれとは　祈らぬものを,0,3,,ける人,True,False,,,,True,False,False
sabisi,adj,寂し,シク活用,さびしき,八重むぐら　しげれる宿の　さびしきに　人こそ見えね　秋は来にけり,11,15,る宿の,に人こ,True,False,,,,True,False,False
hisashi,adj,久し,シク活用,久しき,なげきつつひとりぬる夜の明くる間はいかに久しきものとかは知る,20,23,いかに,ものと,True,False,,,,True,False,False
urameshi,adj,恨めし,シク活用,恨めしき,明けぬれば暮るるものとは知りながらなほ恨めしき朝ぼらけかな,19,23,らなほ,朝ぼら,True,False,,,,True,False,False
katashi,adj,難し,ク活用,かたけれ,忘れじの行く末まではかたければ今日を限りの命ともがな,10,14,までは,ば今日,True,False,,,,True,False,False
tohoshi,adj,遠し,ク活用,遠けれ,大江山いく野の道の遠ければまだふみも見ず天の橋立,9,12,の道の,ばまだ,True,False,,,,True,False,False
nagashi,adj,長し,ク活用,長から,長からむ心も知らず黒髪の乱れて今朝はものをこそ思へ,0,3,,む心も,True,False,,,,True,False,False
kohishi,adj,恋し,シク活用,恋しき,ながらへばまたこのごろやしのばれむ憂しと見し世ぞ今は恋しき,26,29,ぞ今は,,True,False,,,,True,False,False
tsurenashi,adj,つれなし,ク活用,つれなかり,夜もすがら物思ふ頃は明けやらで閨のひまさへつれなかりけり,21,26,まさへ,けり,True,True,"target-length-outlier(len=5,group-median=3)",,,False,False,False
oshi,adj,惜し,シク活用,惜しから,君がため惜しからざりし命さへ長くもがなと思ひけるかな,4,8,がため,ざりし,True,False,,,,True,False,False
itadura,adjv,いたづらなり,ナリ活用,いたづらに,花の色は　うつりにけりな　いたづらに　わが身世にふる　ながめせしまに,11,16,けりな,わが身,True,False,,,,False,False,False
ru_aux,aux,る,下二段型,しのばれむ,ながらへばまたこのごろやしのばれむ憂しと見し世ぞ今は恋しき,12,17,ごろや,憂しと,True,True,"target-length-outlier(len=5,group-median=3.0)",False,,False,False,False
raru_aux,aux,らる,下二段型,あてられぬ,変りゆくかたちありさま、目もあてられぬこと多かり,14,19,、目も,こと多,True,True,"target-length-outlier(len=5,group-median=3.0)",False,,False,False,False
su_aux,aux,す,下二段型,歌はせ,例の声出ださせて、随身に歌はせ給ふ,12,15,随身に,給ふ,True,False,,False,せ,False,False,False
sasu_aux,aux,さす,下二段型,させ,これはいさめる馬なりとて、鞍を置きかへさせけり,19,21,きかへ,けり,True,False,,True,,False,False,False
shimu_aux,aux,しむ,下二段型,しめ,まことに出家せしめ奉りてしに侍る,7,9,出家せ,奉りて,True,False,,True,,False,False,False
zu,aux,ず,特殊型,みえぬ,わが袖は潮干にみえぬ沖の石の人こそしらねかわくまもなし,7,10,潮干に,沖の石,True,False,,False,ぬ,False,False,False
mu_aux,aux,む,四段型,寝む,あしびきの山鳥の尾のしだり尾のながながし夜をひとりかも寝む,27,29,りかも,,True,False,,False,む,False,False,False
muzu_aux,aux,むず,サ変型,むずる,そこに建てむずるぞ,5,8,に建て,ぞ,True,False,,True,,False,False,False
ji_aux,aux,じ,無変化型,負けじ,勝たんと打つべからず。負けじと打つべきなり,11,14,らず。,と打つ,True,False,,False,じ,False,False,False
mashi_aux,aux,まし,特殊型,ざらまし,逢ふことの絶えてしなくはなかなかに人をも身をも恨みざらまし,25,29,も恨み,,True,False,,False,まし,False,False,False
mahoshi_aux,aux,まほし,形容詞（シク活用）型,まほしけれ,あはぬまでも、見に行かまほしけれど,11,16,に行か,ど,True,False,,True,,False,False,False
ki_aux,aux,き,特殊型,いでし,天の原ふりさけ見れば春日なる三笠の山にいでし月かも,19,22,の山に,月かも,True,False,,False,し,False,False,False
keri,aux,けり,ラ変型,けり,あらしふくみ室の山のもみぢ葉は竜田の川の錦なりけり,23,25,錦なり,,True,False,,True,,False,False,False
tsu_aux,aux,つ,下二段型,つけつ,なよ竹のかぐや姫とつけつ,9,12,や姫と,,True,False,,False,つ,False,False,False
nu_aux,aux,ぬ,ナ変型,ぬる,いにしへの奈良の都の八重桜けふ九重ににほひぬるかな,21,23,にほひ,かな,True,False,,True,,False,False,False
tari_comp_aux,aux,たり,ラ変型,かけたる,山川に風のかけたるしがらみは流れもあへぬ紅葉なりけり,5,9,に風の,しがら,True,False,,False,たる,False,False,False
ri_aux,aux,り,ラ変型,らず,舟子、かぢとりは、舟唄うたひて何とも思へらず,20,22,も思へ,,True,True,target-ends-with-suspect-trailing(らず),False,,False,False,False
kemu_aux,aux,けむ,四段型,ありけめ,この国に跡を垂るべき宿世こそありけめ,14,18,世こそ,,True,False,,False,けめ,False,False,False
ramu_aux,aux,らむ,四段型,いふらむ,吹くからに秋の草木のしをるればむべ山風を嵐といふらむ,22,26,を嵐と,,True,False,,False,らむ,False,False,False
beshi_aux,aux,べし,形容詞（ク活用）型,べき,難波江の芦のかりねのひとよゆゑみをつくしてや恋ひわたるべき,27,29,わたる,,True,False,,True,,False,False,False
maji_aux,aux,まじ,形容詞（シク活用）型,まじ,唐の物は、薬のほかは、なくとも事欠くまじ,18,20,事欠く,,True,False,,True,,False,False,False
rashi_aux,aux,らし,無変化型,けらし,春すぎて夏来にけらし白妙の衣ほすてふ天の香具山,7,10,夏来に,白妙の,True,False,,False,らし,False,False,False
meri_aux,aux,めり,ラ変型,いぬめり,契りおきしさせもが露を命にてあはれ今年の秋もいぬめり,22,26,の秋も,,True,False,,False,めり,False,False,False
nari_hearsay_aux,aux,なり,ラ変型（伝聞・推定）,いふなり,わが庵は都のたつみしかぞすむ世をうぢ山と人はいふなり,22,26,と人は,,True,False,,False,なり,False,False,False
nari_assert_aux,aux,なり,形容動詞（ナリ活用）型,身なり,花さそふ嵐の庭の雪ならでふりゆくものはわが身なりけり,21,24,はわが,けり,True,False,,False,なり,False,False,False
tari_assert_aux,aux,たり,形容動詞（タリ活用）型,たり,けふは人のうへたりといへども、あすは我が身のうへたるべし,7,9,のうへ,といへ,True,False,,True,,False,False,False
tashi_aux,aux,たし,形容詞（ク活用）型,たかり,近う参って、見参にも入りたかりつれども,12,15,も入り,つれど,True,False,,True,,False,False,False
gotoshi_aux,aux,ごとし,形容詞（ク活用）型,ごとし,おごれる人も久しからず、ただ春の夜の夢のごとし,20,23,の夢の,,True,False,,True,,False,False,False
